item_id,stage,timestamp,time_spent_minutes,previous_timestamp,time_between_stage,is_delayed
1,Receiving,2026-04-25 17:53:47.981137,11,,,False
1,Storage,2026-04-25 19:37:47.981137,104,2026-04-25 17:53:47.981137,104.0,True
1,Picking,2026-04-25 20:33:47.981137,56,2026-04-25 19:37:47.981137,56.0,False
1,Packing,2026-04-25 20:42:47.981137,9,2026-04-25 20:33:47.981137,9.0,False
1,Shipping,2026-04-25 21:23:47.981137,41,2026-04-25 20:42:47.981137,41.0,False
2,Receiving,2026-04-25 17:47:47.981137,5,,,False
2,Storage,2026-04-25 20:11:47.981137,144,2026-04-25 17:47:47.981137,144.0,True
2,Picking,2026-04-25 20:31:47.981137,20,2026-04-25 20:11:47.981137,20.0,False
2,Packing,2026-04-25 20:58:47.981137,27,2026-04-25 20:31:47.981137,27.0,False
2,Shipping,2026-04-25 21:18:47.981137,20,2026-04-25 20:58:47.981137,20.0,False
3,Receiving,2026-04-25 17:58:47.981137,16,,,False
3,Storage,2026-04-25 20:33:47.981137,155,2026-04-25 17:58:47.981137,155.0,True
3,Picking,2026-04-25 21:08:47.981137,35,2026-04-25 20:33:47.981137,35.0,False
3,Packing,2026-04-25 21:28:47.981137,20,2026-04-25 21:08:47.981137,20.0,False
3,Shipping,2026-04-25 22:00:47.981137,32,2026-04-25 21:28:47.981137,32.0,False
4,Receiving,2026-04-25 19:37:47.981137,115,,,True
4,Storage,2026-04-25 21:13:47.981137,96,2026-04-25 19:37:47.981137,96.0,True
4,Picking,2026-04-25 22:13:47.981137,60,2026-04-25 21:13:47.981137,60.0,False
4,Packing,2026-04-25 22:18:47.981137,5,2026-04-25 22:13:47.981137,5.0,False
4,Shipping,2026-04-25 22:39:47.981137,21,2026-04-25 22:18:47.981137,21.0,False
5,Receiving,2026-04-25 18:00:47.981137,18,,,False
5,Storage,2026-04-25 18:55:47.981137,55,2026-04-25 18:00:47.981137,55.0,False
5,Picking,2026-04-25 19:16:47.981137,21,2026-04-25 18:55:47.981137,21.0,False
5,Packing,2026-04-25 19:33:47.981137,17,2026-04-25 19:16:47.981137,17.0,False
5,Shipping,2026-04-25 20:07:47.981137,34,2026-04-25 19:33:47.981137,34.0,False
6,Receiving,2026-04-25 17:55:47.981137,13,,,False
6,Storage,2026-04-25 19:49:47.981137,114,2026-04-25 17:55:47.981137,114.0,True
6,Picking,2026-04-25 20:35:47.981137,46,2026-04-25 19:49:47.981137,46.0,False
6,Packing,2026-04-25 21:53:47.981137,78,2026-04-25 20:35:47.981137,78.0,False
6,Shipping,2026-04-25 22:27:47.981137,34,2026-04-25 21:53:47.981137,34.0,False
7,Receiving,2026-04-25 17:47:47.981137,5,,,False
7,Storage,2026-04-25 20:38:47.981137,171,2026-04-25 17:47:47.981137,171.0,True
7,Picking,2026-04-25 20:50:47.981137,12,2026-04-25 20:38:47.981137,12.0,False
7,Packing,2026-04-25 21:06:47.981137,16,2026-04-25 20:50:47.981137,16.0,False
7,Shipping,2026-04-25 21:24:47.981137,18,2026-04-25 21:06:47.981137,18.0,False
8,Receiving,2026-04-25 18:00:47.981137,18,,,False
8,Storage,2026-04-25 22:12:47.981137,252,2026-04-25 18:00:47.981137,252.0,True
8,Picking,2026-04-25 23:06:47.981137,54,2026-04-25 22:12:47.981137,54.0,False
8,Packing,2026-04-26 00:21:47.981137,75,2026-04-25 23:06:47.981137,75.0,False
8,Shipping,2026-04-26 01:05:47.981137,44,2026-04-26 00:21:47.981137,44.0,False
9,Receiving,2026-04-25 17:54:47.981137,12,,,False
9,Storage,2026-04-25 19:15:47.981137,81,2026-04-25 17:54:47.981137,81.0,False
9,Picking,2026-04-25 19:55:47.981137,40,2026-04-25 19:15:47.981137,40.0,False
9,Packing,2026-04-25 21:02:47.981137,67,2026-04-25 19:55:47.981137,67.0,False
9,Shipping,2026-04-25 23:36:47.981137,154,2026-04-25 21:02:47.981137,154.0,True
10,Receiving,2026-04-25 17:51:47.981137,9,,,False
10,Storage,2026-04-25 20:43:47.981137,172,2026-04-25 17:51:47.981137,172.0,True
10,Picking,2026-04-25 21:19:47.981137,36,2026-04-25 20:43:47.981137,36.0,False
10,Packing,2026-04-25 21:24:47.981137,5,2026-04-25 21:19:47.981137,5.0,False
10,Shipping,2026-04-25 22:06:47.981137,42,2026-04-25 21:24:47.981137,42.0,False
11,Receiving,2026-04-25 17:50:47.981137,8,,,False
11,Storage,2026-04-25 20:36:47.981137,166,2026-04-25 17:50:47.981137,166.0,True
11,Picking,2026-04-25 20:51:47.981137,15,2026-04-25 20:36:47.981137,15.0,False
11,Packing,2026-04-25 20:56:47.981137,5,2026-04-25 20:51:47.981137,5.0,False
11,Shipping,2026-04-25 21:17:47.981137,21,2026-04-25 20:56:47.981137,21.0,False
12,Receiving,2026-04-25 17:53:47.981137,11,,,False
12,Storage,2026-04-25 19:12:47.981137,79,2026-04-25 17:53:47.981137,79.0,False
12,Picking,2026-04-25 19:52:47.981137,40,2026-04-25 19:12:47.981137,40.0,False
12,Packing,2026-04-25 20:11:47.981137,19,2026-04-25 19:52:47.981137,19.0,False
12,Shipping,2026-04-25 20:37:47.981137,26,2026-04-25 20:11:47.981137,26.0,False
13,Receiving,2026-04-25 17:58:47.981137,16,,,False
13,Storage,2026-04-25 18:40:47.981137,42,2026-04-25 17:58:47.981137,42.0,False
13,Picking,2026-04-25 19:18:47.981137,38,2026-04-25 18:40:47.981137,38.0,False
13,Packing,2026-04-25 19:29:47.981137,11,2026-04-25 19:18:47.981137,11.0,False
13,Shipping,2026-04-25 19:52:47.981137,23,2026-04-25 19:29:47.981137,23.0,False
14,Receiving,2026-04-25 18:51:47.981137,69,,,False
14,Storage,2026-04-25 19:26:47.981137,35,2026-04-25 18:51:47.981137,35.0,False
14,Picking,2026-04-25 19:39:47.981137,13,2026-04-25 19:26:47.981137,13.0,False
14,Packing,2026-04-25 19:46:47.981137,7,2026-04-25 19:39:47.981137,7.0,False
14,Shipping,2026-04-25 20:20:47.981137,34,2026-04-25 19:46:47.981137,34.0,False
15,Receiving,2026-04-25 19:40:47.981137,118,,,True
15,Storage,2026-04-25 21:20:47.981137,100,2026-04-25 19:40:47.981137,100.0,True
15,Picking,2026-04-25 21:51:47.981137,31,2026-04-25 21:20:47.981137,31.0,False
15,Packing,2026-04-25 21:57:47.981137,6,2026-04-25 21:51:47.981137,6.0,False
15,Shipping,2026-04-25 22:20:47.981137,23,2026-04-25 21:57:47.981137,23.0,False
16,Receiving,2026-04-25 17:49:47.981137,7,,,False
16,Storage,2026-04-25 19:33:47.981137,104,2026-04-25 17:49:47.981137,104.0,True
16,Picking,2026-04-25 20:33:47.981137,60,2026-04-25 19:33:47.981137,60.0,False
16,Packing,2026-04-25 20:38:47.981137,5,2026-04-25 20:33:47.981137,5.0,False
16,Shipping,2026-04-25 21:23:47.981137,45,2026-04-25 20:38:47.981137,45.0,False
17,Receiving,2026-04-25 17:55:47.981137,13,,,False
17,Storage,2026-04-25 20:47:47.981137,172,2026-04-25 17:55:47.981137,172.0,True
17,Picking,2026-04-25 20:59:47.981137,12,2026-04-25 20:47:47.981137,12.0,False
17,Packing,2026-04-25 21:26:47.981137,27,2026-04-25 20:59:47.981137,27.0,False
17,Shipping,2026-04-25 21:41:47.981137,15,2026-04-25 21:26:47.981137,15.0,False
18,Receiving,2026-04-25 18:55:47.981137,73,,,False
18,Storage,2026-04-25 22:17:47.981137,202,2026-04-25 18:55:47.981137,202.0,True
18,Picking,2026-04-25 22:50:47.981137,33,2026-04-25 22:17:47.981137,33.0,False
18,Packing,2026-04-25 23:01:47.981137,11,2026-04-25 22:50:47.981137,11.0,False
18,Shipping,2026-04-25 23:11:47.981137,10,2026-04-25 23:01:47.981137,10.0,False
19,Receiving,2026-04-25 18:02:47.981137,20,,,False
19,Storage,2026-04-25 22:16:47.981137,254,2026-04-25 18:02:47.981137,254.0,True
19,Picking,2026-04-25 23:48:47.981137,92,2026-04-25 22:16:47.981137,92.0,True
19,Packing,2026-04-26 01:47:47.981137,119,2026-04-25 23:48:47.981137,119.0,True
